shangpai_date,url,price,title,address,price_new,xingshi
2014-09,https://www.guazi.com/wh/92c7fb03baa89aa1x.htm,¥3.50            ,北汽幻速S2 2015款 1.5L 手动豪华型 国IV,武汉,"
                            新车指导价7.30万(含税)
                    ",4.34万公里
2015-11,https://www.guazi.com/wh/b72deaf1a6280f49x.htm,¥4.50            ,哈弗H1 2015款 1.5L 手动豪华型,武汉,"
                            新车指导价7.90万(含税)
                    ",2.4万公里
2014-02,https://www.guazi.com/wh/719d781c1c35bdccx.htm,¥2.30            ,长安商用欧诺 2014款 1.3L幸福型,武汉,"
                            新车指导价3.90万(含税)
                    ",5.34万公里
2016-11,https://www.guazi.com/wh/5967f7bd212e1733x.htm,¥10.18            ,东风风神AX7 2016款 2.0L 自动智逸型,武汉,"
                            新车指导价14.10万(含税)
                    ",1.82万公里
2013-12,https://www.guazi.com/wh/a75cf76a397a45c4x.htm,¥7.80            ,三菱劲炫ASX 2013款 2.0L 手动两驱舒适版,武汉,"
                            新车指导价14.10万(含税)
                    ",4.5万公里
2010-12,https://www.guazi.com/wh/817838fbc164a5d8x.htm,¥0.80            ,五菱之光 手动,武汉,"
                    ",11.7万公里
2013-03,https://www.guazi.com/wh/93d54326eb6f1bbax.htm,¥4.00            ,东风风行景逸SUV 2012款 1.6L 尊享型,武汉,"
                            新车指导价10.10万(含税)
                    ",7.36万公里
2011-06,https://www.guazi.com/wh/b17e70146297de3bx.htm,¥9.20            ,起亚K5 2011款 2.0L 自动GLS,武汉,"
                            新车指导价19.50万(含税)
                    ",7.1万公里
2014-11,https://www.guazi.com/wh/d1abd7684f899e51x.htm,¥6.80            ,哈弗H2 2014款 1.5T 手动两驱尊贵版,武汉,"
                            新车指导价12.20万(含税)
                    ",4.35万公里
2013-11,https://www.guazi.com/wh/5b52b9d66f789d24x.htm,¥6.50            ,哈弗H6 2013款 升级版 1.5T 手动两驱精英型,武汉,"
                            新车指导价12.60万(含税)
                    ",7.6万公里
2011-12,https://www.guazi.com/wh/f615b74cfb6e3622x.htm,¥7.58            ,纳智捷大7 SUV 2011款 2.2T 四驱智尊型,武汉,"
                            新车指导价26.00万(含税)
                    ",11.96万公里
2009-11,https://www.guazi.com/wh/83a5e1bacacbb736x.htm,¥2.80            ,吉利经典帝豪 2009款 三厢 1.8L 手动豪华型,武汉,"
                            新车指导价9.70万(含税)
                    ",7.94万公里
2014-12,https://www.guazi.com/wh/28a251656af93ba4x.htm,¥7.00            ,哈弗H6 2014款 升级版 1.5T 手动两驱精英型,武汉,"
                            新车指导价13.00万(含税)
                    ",6.4万公里
2016-05,https://www.guazi.com/wh/1b6701b65713a4ffx.htm,¥13.99            ,丰田凯美瑞 2015款 2.0E 精英版,武汉,"
                            新车指导价20.10万(含税)
                    ",2.1万公里
2013-06,https://www.guazi.com/wh/f57174b178815fecx.htm,¥8.80            ,福特蒙迪欧-致胜 2011款 2.3L 时尚型,武汉,"
                            新车指导价19.50万(含税)
                    ",5.36万公里
2012-08,https://www.guazi.com/wh/865cf2cbed24e3e2x.htm,¥5.20            ,雪铁龙爱丽舍 2012款 三厢 1.6L 自动科技型,武汉,"
                            新车指导价9.20万(含税)
                    ",1.65万公里
2013-03,https://www.guazi.com/wh/e195ce057edf9a67x.htm,¥7.00            ,标致408 2013款 2.0L 自动舒适版,武汉,"
                            新车指导价15.60万(含税)
                    ",4.8万公里
2015-04,https://www.guazi.com/wh/2456f2416588b6d7x.htm,¥7.00            ,哈弗H6 2015款 升级版 1.5T 手动两驱精英型,武汉,"
                            新车指导价11.90万(含税)
                    ",5.39万公里
2010-02,https://www.guazi.com/wh/234d00775863acd1x.htm,¥4.10            ,荣威550 2010款 550S 1.8L 自动启臻版,武汉,"
                            新车指导价16.30万(含税)
                    ",7.7万公里
2016-03,https://www.guazi.com/wh/98803d0c5b6193c2x.htm,¥7.50            ,众泰T600 2016款 1.5T 手动尊贵型,武汉,"
                            新车指导价10.70万(含税)
                    ",3.66万公里
2011-07,https://www.guazi.com/wh/349b2d1caf736b64x.htm,¥4.80            ,起亚秀尔 2010款 1.6L AT Premium,武汉,"
                            新车指导价13.90万(含税)
                    ",6万公里
2013-10,https://www.guazi.com/wh/bcee7b549275e744x.htm,¥8.20            ,标致3008 2013款 2.0L 自动经典版,武汉,"
                            新车指导价18.60万(含税)
                    ",9.5万公里
2012-04,https://www.guazi.com/wh/9d3051d30395ee81x.htm,¥5.00            ,雪佛兰科鲁兹 2012款 1.6L SE MT,武汉,"
                            新车指导价13.00万(含税)
                    ",8.2万公里
2014-04,https://www.guazi.com/wh/89362a1dabb41943x.htm,¥3.97            ,东风风行景逸X5 2013款 1.6L 手动尊享型 国IV,武汉,"
                            新车指导价9.40万(含税)
                    ",4.37万公里
2014-03,https://www.guazi.com/wh/977439cc89c5f605x.htm,¥4.50            ,长城M4 2012款 1.5L 手动精英型,武汉,"
                            新车指导价7.80万(含税)
                    ",4.08万公里
2016-11,https://www.guazi.com/wh/7490d829a13dd618x.htm,¥10.38            ,别克威朗 2016款 两厢 15S 自动领先型,武汉,"
                            新车指导价16.90万(含税)
                    ",0.38万公里
2012-12,https://www.guazi.com/wh/73ad1559e0b74523x.htm,¥11.28            ,别克君越 2012款 2.4L SIDI雅致版,武汉,"
                            新车指导价25.60万(含税)
                    ",7.89万公里
2014-08,https://www.guazi.com/wh/89aa3739c79ec59ax.htm,¥10.00            ,猎豹黑金刚 2014款 2.4L 手动四驱,武汉,"
                            新车指导价19.50万(含税)
                    ",5.73万公里
2016-05,https://www.guazi.com/wh/77836f10ee117125x.htm,¥6.00            ,荣威350 2015款 1.5L 手动豪华天窗版,武汉,"
                            新车指导价8.50万(含税)
                    ",2.52万公里
2013-07,https://www.guazi.com/wh/7ba059ab095c9c1fx.htm,¥3.80            ,东风风行菱智 2013款 1.6L 5座 舒适版,武汉,"
                    ",4.63万公里
2010-06,https://www.guazi.com/wh/20be3517db756bdax.htm,¥3.30            ,福特嘉年华 2009款 两厢 1.5L 自动时尚型,武汉,"
                            新车指导价10.40万(含税)
                    ",10.7万公里
2011-08,https://www.guazi.com/wh/ca092486c77976afx.htm,¥3.60            ,雪铁龙世嘉 2011款 三厢 1.6L 手动时尚型,武汉,"
                            新车指导价11.80万(含税)
                    ",7.72万公里
2010-12,https://www.guazi.com/wh/b551fb1b3247cdbfx.htm,¥2.90            ,马自达2 2007款 1.3L 手动标准型,武汉,"
                            新车指导价9.10万(含税)
                    ",6.9万公里
2013-02,https://www.guazi.com/wh/6dd57b316998fd7fx.htm,¥4.70            ,东风风神A60 2012款 1.6L 自动豪华型,武汉,"
                            新车指导价10.60万(含税)
                    ",7.83万公里
2015-01,https://www.guazi.com/wh/68344a2ad0bdf689x.htm,¥8.80            ,铃木速翼特 2014款  1.6CVT 两驱豪华版,武汉,"
                    ",5.83万公里
